Label,Text
physics,decisive contributions large project led discovery field particles w z communicators weak interaction
physics,decisive contributions large project led discovery field particles w z communicators weak interaction
economics,made fundamental contributions development systems national accounts hence greatly improved basis empirical economic analysis
physics,discovery quantized hall effect
medicine,discoveries concerning regulation cholesterol metabolism
medicine,discoveries concerning regulation cholesterol metabolism
chemistry,outstanding achievements development direct methods determination crystal structures
chemistry,outstanding achievements development direct methods determination crystal structures
literature,novel combines poets painters creativeness deepened awareness time depiction human condition
economics,pioneering analyses saving financial markets
chemistry,contributions concerning dynamics chemical elementary processes
chemistry,contributions concerning dynamics chemical elementary processes
physics,design scanning tunneling microscope
physics,design scanning tunneling microscope
physics,fundamental work electron optics design first electron microscope
chemistry,contributions concerning dynamics chemical elementary processes
medicine,discoveries growth factors
medicine,discoveries growth factors
peace,messenger mankind message one peace atonement dignity
literature,wide cultural perspective poetic overtones fashions drama existence
economics,development contractual constitutional bases theory economic political decisionmaking
chemistry,development use molecules structurespecific interactions high selectivity
literature,allembracing authorship imbued clarity thought poetic intensity
physics,important breakthrough discovery superconductivity ceramic materials
chemistry,development use molecules structurespecific interactions high selectivity
physics,important breakthrough discovery superconductivity ceramic materials
medicine,discovery genetic principle generation antibody diversity
economics,contributions theory economic growth
peace,work lasting peace central america
chemistry,development use molecules structurespecific interactions high selectivity
physics,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
medicine,discoveries important principles drug treatment
chemistry,determination threedimensional structure photosynthetic reaction centre
chemistry,determination threedimensional structure photosynthetic reaction centre
chemistry,determination threedimensional structure photosynthetic reaction centre
literature,works rich nuance clearsightedly realistic evocatively ambiguous formed arabian narrative art applies mankind
medicine,discoveries important principles drug treatment
medicine,discoveries important principles drug treatment
economics,pioneering contributions theory markets efficient utilization resources
chemistry,discovery catalytic properties rna
chemistry,discovery catalytic properties rna
physics,development ion trap technique
physics,invention separated oscillatory fields method use hydrogen maser atomic clocks
medicine,discovery cellular origin retroviral oncogenes
physics,development ion trap technique
economics,clarification probability theory foundations econometrics analyses simultaneous economic structures
literature,rich intensive prose restrained compassion forms challenging vision mans vulnerability
peace,advocating peaceful solutions based upon tolerance mutual respect order preserve historical cultural heritage people
medicine,discovery cellular origin retroviral oncogenes
literature,impassioned writing wide horizons characterized sensuous intelligence humanistic integrity
physics,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
economics,pioneering work theory financial economics
economics,pioneering work theory financial economics
medicine,discoveries concerning organ cell transplantation treatment human disease
peace,leading role played radical changes eastwest relations
medicine,discoveries concerning organ cell transplantation treatment human disease
economics,pioneering work theory financial economics
chemistry,development theory methodology organic synthesis
economics,discovery clarification significance transaction costs property rights institutional structure functioning economy
literature,magnificent epic writing words alfred nobel great benefit humanity
medicine,discoveries concerning function single ion channels cells
physics,discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers
medicine,discoveries concerning function single ion channels cells
chemistry,contributions development methodology high resolution nuclear magnetic resonance nmr spectroscopy
literature,poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment
medicine,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
chemistry,contributions theory electron transfer reactions chemical systems
economics,extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour
peace,struggle social justice ethnocultural reconciliation based respect rights indigenous peoples
physics,invention development particle detectors particular multiwire proportional chamber
medicine,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
physics,discovery new type pulsar discovery opened new possibilities study gravitation
physics,discovery new type pulsar discovery opened new possibilities study gravitation
literature,novels characterized visionary force poetic import gives life essential aspect american reality
economics,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
chemistry,fundamental contributions establishment oligonucleotidebased sitedirected mutagenesis development protein studies
medicine,discoveries split genes
medicine,discoveries split genes
chemistry,invention polymerase chain reaction pcr method
peace,work peaceful termination apartheid regime laying foundations new democratic south africa
economics,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
peace,work peaceful termination apartheid regime laying foundations new democratic south africa
medicine,discovery gproteins role proteins signal transduction cells
medicine,discovery gproteins role proteins signal transduction cells
chemistry,contribution carbocation chemistry
physics,development neutron spectroscopy
physics,development neutron diffraction technique
literature,poetic force creates imagined world life myth condense form disconcerting picture human predicament today
peace,efforts create peace middle east
peace,efforts create peace middle east
peace,efforts create peace middle east
economics,pioneering analysis equilibria theory noncooperative games
economics,pioneering analysis equilibria theory noncooperative games
economics,pioneering analysis equilibria theory noncooperative games
physics,detection neutrino
medicine,discoveries concerning genetic control early embryonic development
chemistry,work atmospheric chemistry particularly concerning formation decomposition ozone
chemistry,work atmospheric chemistry particularly concerning formation decomposition ozone
economics,developed applied hypothesis rational expectations thereby transformed macroeconomic analysis deepened understanding economic policy
literature,works lyrical beauty ethical depth exalt everyday miracles living past
chemistry,work atmospheric chemistry particularly concerning formation decomposition ozone
medicine,discoveries concerning genetic control early embryonic development
peace,efforts diminish part played nuclear arms international politics longer run eliminate arms
physics,discovery tau lepton
medicine,discoveries concerning genetic control early embryonic development
physics,discovery superfluidity helium
physics,discovery superfluidity helium
physics,discovery superfluidity helium
medicine,discoveries concerning specificity cell mediated immune defence
medicine,discoveries concerning specificity cell mediated immune defence
chemistry,discovery fullerenes
literature,poetry ironic precision allows historical biological context come light fragments human reality
peace,work towards peaceful solution conflict east timor
peace,work towards peaceful solution conflict east timor
chemistry,discovery fullerenes
economics,fundamental contributions economic theory incentives asymmetric information
chemistry,discovery fullerenes
economics,fundamental contributions economic theory incentives asymmetric information
literature,emulates jesters middle ages scourging authority upholding dignity downtrodden
chemistry,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate atp
chemistry,first discovery iontransporting enzyme na k atpase
economics,new method determine value derivatives
medicine,discovery prions new biological principle infection
physics,development methods cool trap atoms laser light
economics,new method determine value derivatives
physics,development methods cool trap atoms laser light
physics,development methods cool trap atoms laser light
peace,work banning clearing antipersonnel mines
chemistry,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate atp
economics,contributions welfare economics
physics,discovery new form quantum fluid fractionally charged excitations
literature,parables sustained imagination compassion irony continually enables us apprehend elusory reality
physics,discovery new form quantum fluid fractionally charged excitations
chemistry,development densityfunctional theory
medicine,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,discoveries concerning nitric oxide signalling molecule cardiovascular system
chemistry,development computational methods quantum chemistry
peace,efforts find peaceful solution conflict northern ireland
peace,efforts find peaceful solution conflict northern ireland
physics,discovery new form quantum fluid fractionally charged excitations
literature,whose frolicsome black fables portray forgotten face history
chemistry,studies transition states chemical reactions using femtosecond spectroscopy
physics,elucidating quantum structure electroweak interactions physics
physics,elucidating quantum structure electroweak interactions physics
economics,analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas
medicine,discovery proteins intrinsic signals govern transport localization cell
chemistry,discovery development conductive polymers
literature,uvre universal validity bitter insights linguistic ingenuity opened new paths chinese novel drama
economics,development theory methods analyzing discrete choice
economics,development theory methods analyzing selective samples
chemistry,discovery development conductive polymers
chemistry,discovery development conductive polymers
medicine,discoveries concerning signal transduction nervous system
physics,developing semiconductor heterostructures used highspeed optoelectronics
physics,developing semiconductor heterostructures used highspeed optoelectronics
peace,work democracy human rights south korea east asia general peace reconciliation north korea particular
medicine,discoveries concerning signal transduction nervous system
medicine,discoveries concerning signal transduction nervous system
physics,part invention integrated circuit
economics,analyses markets asymmetric information
peace,work better organized peaceful world
literature,united perceptive narrative incorruptible scrutiny works compel us see presence suppressed histories
economics,analyses markets asymmetric information
economics,analyses markets asymmetric information
chemistry,work chirally catalysed oxidation reactions
chemistry,development click chemistry bioorthogonal chemistry
chemistry,work chirally catalysed hydrogenation reactions
chemistry,work chirally catalysed hydrogenation reactions
physics,achievement boseeinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
physics,achievement boseeinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
physics,achievement boseeinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
medicine,discoveries key regulators cell cycle
medicine,discoveries key regulators cell cycle
medicine,discoveries key regulators cell cycle
peace,decades untiring effort find peaceful solutions international conflicts advance democracy human rights promote economic social development
literature,writing upholds fragile experience individual barbaric arbitrariness history
economics,integrated insights psychological research economic science especially concerning human judgment decisionmaking uncertainty
chemistry,development nuclear magnetic resonance spectroscopy determining threedimensional structure biological macromolecules solution
chemistry,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
chemistry,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
economics,established laboratory experiments tool empirical economic analysis especially study alternative market mechanisms
physics,pioneering contributions astrophysics particular detection cosmic neutrinos
physics,pioneering contributions astrophysics particular detection cosmic neutrinos
medicine,discoveries concerning genetic regulation organ development programmed cell death
medicine,discoveries concerning genetic regulation organ development programmed cell death
medicine,discoveries concerning genetic regulation organ development programmed cell death
physics,pioneering contributions astrophysics led discovery cosmic xray sources
peace,efforts democracy human rights focused especially struggle rights women children
economics,methods analyzing economic time series common trends cointegration
economics,methods analyzing economic time series timevarying volatility arch
chemistry,structural mechanistic studies ion channels
chemistry,discovery water channels
physics,pioneering contributions theory superconductors superfluids
physics,pioneering contributions theory superconductors superfluids
medicine,discoveries concerning magnetic resonance imaging
medicine,discoveries concerning magnetic resonance imaging
literature,innumerable guises portrays surprising involvement outsider
physics,pioneering contributions theory superconductors superfluids
economics,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
chemistry,discovery ubiquitinmediated protein degradation
economics,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
peace,contribution sustainable development democracy peace
literature,musical flow voices countervoices novels plays extraordinary linguistic zeal reveal absurdity societys clicheacutes subjugating power
chemistry,discovery ubiquitinmediated protein degradation
physics,discovery asymptotic freedom theory strong interaction
physics,discovery asymptotic freedom theory strong interaction
physics,discovery asymptotic freedom theory strong interaction
medicine,discoveries odorant receptors organization olfactory system
medicine,discoveries odorant receptors organization olfactory system
chemistry,discovery ubiquitinmediated protein degradation
literature,plays uncovers precipice everyday prattle forces entry oppressions closed rooms
economics,enhanced understanding conflict cooperation gametheory analysis
peace,efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way
chemistry,development metathesis method organic synthesis
chemistry,development metathesis method organic synthesis
economics,enhanced understanding conflict cooperation gametheory analysis
physics,contributions development laserbased precision spectroscopy including optical frequency comb technique
physics,contributions development laserbased precision spectroscopy including optical frequency comb technique
physics,contribution quantum theory optical coherence
medicine,discovery bacterium ihelicobacter pylorii role gastritis peptic ulcer disease
medicine,discovery bacterium ihelicobacter pylorii role gastritis peptic ulcer disease
chemistry,development metathesis method organic synthesis
peace,efforts create economic social development
literature,quest melancholic soul native city discovered new symbols clash interlacing cultures
economics,analysis intertemporal tradeoffs macroeconomic policy
chemistry,studies molecular basis eukaryotic transcription
physics,discovery blackbody form anisotropy cosmic microwave background radiation
medicine,discovery rna interference gene silencing doublestranded rna
medicine,discovery rna interference gene silencing doublestranded rna
physics,discovery blackbody form anisotropy cosmic microwave background radiation
economics,laid foundations mechanism design theory
economics,laid foundations mechanism design theory
economics,laid foundations mechanism design theory
peace,efforts build disseminate greater knowledge manmade climate change lay foundations measures needed counteract change
chemistry,studies chemical processes solid surfaces
literature,epicist female experience scepticism fire visionary power subjected divided civilisation scrutiny
physics,discovery giant magnetoresistance
medicine,discoveries principles introducing specific gene modifications mice use embryonic stem cells
medicine,discoveries principles introducing specific gene modifications mice use embryonic stem cells
medicine,discoveries principles introducing specific gene modifications mice use embryonic stem cells
physics,discovery giant magnetoresistance
peace,important efforts several continents three decades resolve international conflicts
literature,author new departures poetic adventure sensual ecstasy explorer humanity beyond reigning civilization
chemistry,discovery development green fluorescent protein gfp
chemistry,discovery development green fluorescent protein gfp
chemistry,discovery development green fluorescent protein gfp
physics,discovery origin broken symmetry predicts existence least three families quarks nature
economics,analysis trade patterns location economic activity
physics,discovery mechanism spontaneous broken symmetry subatomic physics
medicine,discovery human immunodeficiency virus
medicine,discovery human immunodeficiency virus
medicine,discovery human papilloma viruses causing cervical cancer
physics,discovery origin broken symmetry predicts existence least three families quarks nature
economics,analysis economic governance especially boundaries firm
economics,analysis economic governance especially commons
peace,extraordinary efforts strengthen international diplomacy cooperation peoples
literature,concentration poetry frankness prose depicts landscape dispossessed
chemistry,studies structure function ribosome
chemistry,studies structure function ribosome
chemistry,studies structure function ribosome
physics,invention imaging semiconductor circuit ccd sensor
physics,groundbreaking achievements concerning transmission light fibers optical communication
medicine,discovery chromosomes protected telomeres enzyme telomerase
medicine,discovery chromosomes protected telomeres enzyme telomerase
medicine,discovery chromosomes protected telomeres enzyme telomerase
physics,invention imaging semiconductor circuit ccd sensor
economics,analysis markets search frictions
literature,cartography structures power trenchant images individuals resistance revolt defeat
economics,analysis markets search frictions
peace,long nonviolent struggle fundamental human rights china
chemistry,palladiumcatalyzed cross couplings organic synthesis
economics,analysis markets search frictions
chemistry,palladiumcatalyzed cross couplings organic synthesis
physics,groundbreaking experiments regarding twodimensional material graphene
physics,groundbreaking experiments regarding twodimensional material graphene
medicine,development vitro fertilization
chemistry,palladiumcatalyzed cross couplings organic synthesis
economics,empirical research cause effect macroeconomy
peace,nonviolent struggle safety women womens rights full participation peacebuilding work
peace,nonviolent struggle safety women womens rights full participation peacebuilding work
peace,nonviolent struggle safety women womens rights full participation peacebuilding work
literature,condensed translucent images gives us fresh access reality
chemistry,discovery quasicrystals
economics,empirical research cause effect macroeconomy
physics,discovery accelerating expansion universe observations distant supernovae
physics,discovery accelerating expansion universe observations distant supernovae
medicine,discovery dendritic cell role adaptive immunity
medicine,discoveries concerning activation innate immunity
medicine,discoveries concerning activation innate immunity
physics,discovery accelerating expansion universe observations distant supernovae
economics,theory stable allocations practice market design
economics,theory stable allocations practice market design
literature,hallucinatory realism merges folk tales history contemporary
chemistry,studies gproteincoupled receptors
chemistry,studies gproteincoupled receptors
physics,groundbreaking experimental methods enable measuring manipulation individual quantum systems
medicine,discovery mature cells reprogrammed become pluripotent
medicine,discovery mature cells reprogrammed become pluripotent
physics,groundbreaking experimental methods enable measuring manipulation individual quantum systems
economics,empirical analysis asset prices
chemistry,development multiscale models complex chemical systems
economics,empirical analysis asset prices
economics,empirical analysis asset prices
literature,master contemporary short story
chemistry,development multiscale models complex chemical systems
chemistry,development multiscale models complex chemical systems
physics,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle atlas cms experiments cerns large hadron collider
physics,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle atlas cms experiments cerns large hadron collider
medicine,discoveries machinery regulating vesicle traffic major transport system cells
medicine,discoveries machinery regulating vesicle traffic major transport system cells
medicine,discoveries machinery regulating vesicle traffic major transport system cells
economics,analysis market power regulation
peace,struggle suppression children young people right children education
literature,art memory evoked ungraspable human destinies uncovered lifeworld occupation
chemistry,development superresolved fluorescence microscopy
chemistry,development superresolved fluorescence microscopy
chemistry,development superresolved fluorescence microscopy
peace,struggle suppression children young people right children education
physics,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
physics,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
medicine,discoveries cells constitute positioning system brain
medicine,discoveries cells constitute positioning system brain
medicine,discoveries cells constitute positioning system brain
physics,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
economics,analysis consumption poverty welfare
literature,polyphonic writings monument suffering courage time
chemistry,mechanistic studies dna repair
chemistry,mechanistic studies dna repair
chemistry,mechanistic studies dna repair
physics,discovery neutrino oscillations shows neutrinos mass
medicine,discoveries concerning novel therapy malaria
medicine,discoveries concerning novel therapy infections caused roundworm parasites
medicine,discoveries concerning novel therapy infections caused roundworm parasites
physics,discovery neutrino oscillations shows neutrinos mass
economics,contributions contract theory
chemistry,design synthesis molecular machines
economics,contributions contract theory
peace,resolute efforts bring countrys yearlong civil war end
chemistry,design synthesis molecular machines
literature,created new poetic expressions within great american song tradition
physics,theoretical discoveries topological phase transitions topological phases matter
physics,theoretical discoveries topological phase transitions topological phases matter
physics,theoretical discoveries topological phase transitions topological phases matter
medicine,discoveries mechanisms autophagy
chemistry,design synthesis molecular machines
literature,novels great emotional force uncovered abyss beneath illusory sense connection world
chemistry,developing cryoelectron microscopy highresolution structure determination biomolecules solution
chemistry,developing cryoelectron microscopy highresolution structure determination biomolecules solution
chemistry,developing cryoelectron microscopy highresolution structure determination biomolecules solution
physics,decisive contributions ligo detector observation gravitational waves
economics,contributions behavioural economics
physics,decisive contributions ligo detector observation gravitational waves
medicine,discoveries molecular mechanisms controlling circadian rhythm
medicine,discoveries molecular mechanisms controlling circadian rhythm
medicine,discoveries molecular mechanisms controlling circadian rhythm
physics,decisive contributions ligo detector observation gravitational waves
literature,narrative imagination encyclopedic passion represents crossing boundaries form life
economics,integrating technological innovations longrun macroeconomic analysis
economics,integrating climate change longrun macroeconomic analysis
peace,efforts end use sexual violence weapon war armed conflict
peace,efforts end use sexual violence weapon war armed conflict
chemistry,phage display peptides antibodies
chemistry,phage display peptides antibodies
chemistry,directed evolution enzymes
physics,method generating highintensity ultrashort optical pulses
physics,optical tweezers application biological systems
medicine,discovery cancer therapy inhibition negative immune regulation
medicine,discovery cancer therapy inhibition negative immune regulation
physics,method generating highintensity ultrashort optical pulses
chemistry,development lithiumion batteries
economics,experimental approach alleviating global poverty
economics,experimental approach alleviating global poverty
literature,influential work linguistic ingenuity explored periphery specificity human experience
economics,experimental approach alleviating global poverty
chemistry,development lithiumion batteries
peace,efforts achieve peace international cooperation particular decisive initiative resolve border conflict neighbouring eritrea
physics,discovery exoplanet orbiting solartype star
physics,discovery exoplanet orbiting solartype star
physics,theoretical discoveries physical cosmology
medicine,discoveries cells sense adapt oxygen availability
medicine,discoveries cells sense adapt oxygen availability
medicine,discoveries cells sense adapt oxygen availability
chemistry,development lithiumion batteries
economics,improvements auction theory inventions new auction formats
economics,improvements auction theory inventions new auction formats
literature,unmistakable poetic voice austere beauty makes individual existence universal
chemistry,development method genome editing
chemistry,development method genome editing
physics,discovery supermassive compact object centre galaxy
physics,discovery black hole formation robust prediction general theory relativity
medicine,discovery hepatitis c virus
medicine,discovery hepatitis c virus
medicine,discovery hepatitis c virus
physics,discovery supermassive compact object centre galaxy
literature,uncompromising compassionate penetration effects colonialism fate refugee gulf cultures continents
economics,methodological contributions analysis causal relationships
economics,empirical contributions labour economics
peace,efforts safeguard freedom expression precondition democracy lasting peace
economics,methodological contributions analysis causal relationships
peace,efforts safeguard freedom expression precondition democracy lasting peace
chemistry,development asymmetric organocatalysis
physics,physical modelling earths climate quantifying variability reliably predicting global warming
physics,discovery interplay disorder fluctuations physical systems atomic planetary scales
physics,physical modelling earths climate quantifying variability reliably predicting global warming
medicine,discoveries receptors temperature touch
medicine,discoveries receptors temperature touch
chemistry,development asymmetric organocatalysis
economics,research banks financial crises
peace,peace prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power together demonstrate significance civil society peace democracy
literature,courage clinical acuity uncovers roots estrangements collective restraints personal memory
chemistry,development click chemistry bioorthogonal chemistry
physics,experiments entangled photons establishing violation bell inequalities pioneering quantum information science
physics,experiments entangled photons establishing violation bell inequalities pioneering quantum information science
physics,experiments entangled photons establishing violation bell inequalities pioneering quantum information science
medicine,discoveries concerning genomes extinct hominins human evolution
chemistry,work chirally catalysed oxidation reactions
chemistry,development click chemistry bioorthogonal chemistry
economics,research banks financial crises
chemistry,development click chemistry bioorthogonal chemistry
economics,research banks financial crises
